year,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1986,9.70833333333,10.9333333333,6.91666666667,8.55833333333,6.73333333333,7.49166666667,3.85,4.33333333333,5.78333333333,5.975,4.775,8.43333333333,8.29166666667,6.875,6.75833333333,5.35,9.38333333333,12.7333333333,5.275,4.55,3.90833333333,8.825,5.54166666667,11.3833333333,6.275,7.925,5.00833333333,6.2,2.75833333333,5.01666666667,9.30833333333,6.23333333333,5.29166666667,5.84166666667,8.30833333333,8.23333333333,8.04166666667,6.88333333333,4.06666666667,6.44166666667,4.58333333333,7.9,8.75833333333,6.10833333333,4.26666666667,5.04166666667,8.11666666667,11.8083333333,6.96666666667,8.88333333333
1987,8.05,10.2666666667,6.45,8.10833333333,5.78333333333,7.525,3.34166666667,3.1,5.275,5.65833333333,3.81666666667,7.60833333333,7.43333333333,6.225,5.49166666667,4.825,8.45833333333,12.1166666667,4.36666666667,4.35833333333,3.24166666667,8.3,5.09166666667,9.91666666667,6.26666666667,7.45,4.41666666667,6.05833333333,2.325,4.10833333333,8.70833333333,4.875,4.54166666667,4.99166666667,7.11666666667,7.275,6.24166666667,5.64166666667,3.61666666667,5.51666666667,4.2,6.6,8.44166666667,6.21666666667,3.56666666667,4.26666666667,7.33333333333,10.8166666667,5.88333333333,8.00833333333
1988,7.175,8.78333333333,6.36666666667,7.58333333333,5.275,6.49166666667,2.95833333333,3.14166666667,5.10833333333,5.69166666667,3.175,6.04166666667,6.65833333333,5.23333333333,4.5,4.525,7.59166666667,10.8416666667,3.64166666667,4.24166666667,3.25,7.48333333333,4.28333333333,8.4,5.71666666667,6.65833333333,3.56666666667,5.23333333333,2.425,3.80833333333,7.48333333333,4.28333333333,3.64166666667,4.68333333333,6.00833333333,6.40833333333,5.76666666667,5.05,3.1,4.65833333333,4.06666666667,5.81666666667,7.35,4.95,2.99166666667,3.93333333333,6.31666666667,9.825,4.40833333333,6.43333333333
1989,7.04166666667,7.00833333333,5.375,6.975,5.11666666667,5.63333333333,3.75,3.49166666667,5.56666666667,5.5,2.53333333333,5.28333333333,6.01666666667,4.84166666667,4.19166666667,4.175,6.35,7.93333333333,4.05,3.81666666667,4.15,7.15833333333,4.34166666667,7.825,5.55,5.78333333333,2.91666666667,4.725,3.45833333333,4.08333333333,6.70833333333,4.96666666667,3.525,4.29166666667,5.55833333333,5.66666666667,5.41666666667,4.7,4.11666666667,4.59166666667,4.0,5.075,6.65833333333,4.53333333333,3.56666666667,3.88333333333,5.86666666667,8.61666666667,4.33333333333,6.11666666667
1990,6.8,7.23333333333,5.26666666667,6.925,5.78333333333,5.23333333333,5.13333333333,4.71666666667,6.125,5.46666666667,2.675,5.54166666667,6.19166666667,5.30833333333,4.41666666667,4.31666666667,5.975,6.19166666667,5.34166666667,4.45833333333,6.29166666667,7.63333333333,4.78333333333,7.61666666667,5.85833333333,5.975,2.35,4.725,5.66666666667,5.05,6.56666666667,5.36666666667,4.11666666667,4.025,5.66666666667,5.68333333333,5.5,5.49166666667,6.38333333333,4.825,3.78333333333,5.38333333333,6.35,4.39166666667,5.0,4.45833333333,5.26666666667,8.45833333333,4.38333333333,5.325
1991,7.36666666667,8.45833333333,5.975,7.43333333333,7.775,5.25833333333,6.6,6.21666666667,7.59166666667,5.24166666667,2.875,6.19166666667,7.26666666667,5.975,4.675,4.41666666667,7.30833333333,7.29166666667,7.56666666667,6.125,8.65833333333,9.24166666667,5.175,8.59166666667,6.59166666667,6.9,2.65,5.85,7.3,6.71666666667,7.15833333333,7.275,5.81666666667,4.375,6.5,6.30833333333,6.40833333333,7.1,8.6,6.15,3.49166666667,6.78333333333,6.925,4.71666666667,6.56666666667,5.93333333333,6.36666666667,10.675,5.475,5.24166666667
1992,7.56666666667,8.91666666667,7.55833333333,7.08333333333,9.29166666667,6.00833333333,7.54166666667,5.41666666667,8.225,6.9,4.33333333333,6.35833333333,7.91666666667,6.55833333333,4.46666666667,4.49166666667,6.86666666667,8.025,7.275,6.78333333333,8.46666666667,8.93333333333,5.125,8.05,6.20833333333,6.75,2.86666666667,6.64166666667,7.28333333333,8.38333333333,7.16666666667,8.60833333333,6.04166666667,4.75,7.35833333333,5.99166666667,7.39166666667,7.6,8.86666666667,6.74166666667,3.325,6.5,7.625,4.84166666667,6.10833333333,6.275,7.34166666667,11.3083333333,5.10833333333,5.575
1993,7.35,7.70833333333,6.40833333333,6.14166666667,9.43333333333,5.31666666667,6.6,5.05833333333,7.1,6.025,4.49166666667,5.975,7.45833333333,5.38333333333,4.05833333333,4.95833333333,6.25,7.61666666667,7.24166666667,6.18333333333,6.95,7.225,4.975,6.58333333333,6.23333333333,6.03333333333,2.75833333333,6.85,6.11666666667,7.6,6.96666666667,7.9,5.025,4.29166666667,6.61666666667,5.94166666667,7.04166666667,6.94166666667,7.725,7.26666666667,3.34166666667,5.81666666667,7.15833333333,4.06666666667,5.15,5.24166666667,7.325,10.6416666667,4.775,5.375
1994,6.18333333333,7.56666666667,6.14166666667,5.36666666667,8.6,4.24166666667,5.58333333333,4.78333333333,6.40833333333,5.2,5.50833333333,5.40833333333,5.74166666667,4.84166666667,3.50833333333,4.88333333333,5.375,7.83333333333,6.99166666667,5.25,6.01666666667,5.95833333333,4.05,6.24166666667,5.04166666667,5.23333333333,2.63333333333,6.175,4.725,6.80833333333,6.46666666667,6.94166666667,4.36666666667,3.70833333333,5.54166666667,5.53333333333,5.43333333333,6.24166666667,6.9,6.20833333333,3.275,4.825,6.475,3.78333333333,4.56666666667,4.84166666667,6.54166666667,8.825,4.48333333333,4.95833333333
1995,5.93333333333,7.31666666667,5.35833333333,4.84166666667,7.875,4.00833333333,5.49166666667,4.325,5.525,4.83333333333,5.875,5.40833333333,5.15,4.6,3.45,4.40833333333,5.40833333333,6.98333333333,5.94166666667,5.05,5.28333333333,5.25833333333,3.725,6.19166666667,4.71666666667,5.65,2.64166666667,5.56666666667,3.975,6.40833333333,6.58333333333,6.31666666667,4.30833333333,3.225,4.78333333333,4.59166666667,4.9,5.86666666667,6.31666666667,5.19166666667,3.04166666667,5.15833333333,6.05,3.5,4.25833333333,4.525,6.43333333333,7.9,3.75833333333,4.775
